best fitness,particula,tiempo,evals
0.005409268924537038,"[0.7405859037055659, 0.6068396256011384, 0.5431899534213122, 0.5081508576826846, 0.3267424082954523, 0.35186081186031426, 0.4784504078161044, 0.6582946651542015, 0.8489646783130321, 0.6163780187068043]",15454.828474283218,50
0.007244304927187084,"[0.8154316342704414, 0.49839939976630043, 0.6234124328024027, 0.18125309189704347, -0.13084558858745649, 0.13156716314129885, 0.3402805027324428, 0.5859055760996668, 0.45618406593589156, 0.47201373907302413]",17934.787715435028,50
0.00824599835327512,"[1.0, 0.5310509165385653, 0.6643030760585771, 1.0, 1.0, 1.0, 0.46749261850790397, 0.6928625098235438, 0.9714141104868078, 0.9404669855646536]",20320.7601416111,50
0.008044678209528934,"[0.5939243220899433, -0.2832571784999119, 0.3784183847510822, -0.21734916224641207, 0.5193984772506676, 0.5323072427906489, -0.2559773675396331, 0.5127625636107795, 0.41962264396980437, -0.27771426526523213]",22848.32089471817,50
0.006812239478516791,"[0.7706492459134263, 0.8341263140604498, 0.8097417503682282, 0.7578896449017634, 0.7814579071242818, 0.8228715673072743, 0.659832357886155, 0.8203965810456579, 0.7186857768682836, 0.8655743415428385]",25178.34342622757,50
best fitness,particula,tiempo,evals
0.005409268924537038,"[0.7405859037055659, 0.6068396256011384, 0.5431899534213122, 0.5081508576826846, 0.3267424082954523, 0.35186081186031426, 0.4784504078161044, 0.6582946651542015, 0.8489646783130321, 0.6163780187068043]",15454.828474283218,50
0.007244304927187084,"[0.8154316342704414, 0.49839939976630043, 0.6234124328024027, 0.18125309189704347, -0.13084558858745649, 0.13156716314129885, 0.3402805027324428, 0.5859055760996668, 0.45618406593589156, 0.47201373907302413]",17934.787715435028,50
0.00824599835327512,"[1.0, 0.5310509165385653, 0.6643030760585771, 1.0, 1.0, 1.0, 0.46749261850790397, 0.6928625098235438, 0.9714141104868078, 0.9404669855646536]",20320.7601416111,50
0.008044678209528934,"[0.5939243220899433, -0.2832571784999119, 0.3784183847510822, -0.21734916224641207, 0.5193984772506676, 0.5323072427906489, -0.2559773675396331, 0.5127625636107795, 0.41962264396980437, -0.27771426526523213]",22848.32089471817,50
0.006812239478516791,"[0.7706492459134263, 0.8341263140604498, 0.8097417503682282, 0.7578896449017634, 0.7814579071242818, 0.8228715673072743, 0.659832357886155, 0.8203965810456579, 0.7186857768682836, 0.8655743415428385]",25178.34342622757,50
0.008968955669829942,"[0.653432185515504, 1.0, 1.0, 1.0, 0.8303721462227014, 1.0, 0.803061025326939, 0.944337315584231, 0.49053471920352537, 0.9488644556746946]",27639.977840185165,50
best fitness,particula,tiempo,evals
0.005409268924537038,"[0.7405859037055659, 0.6068396256011384, 0.5431899534213122, 0.5081508576826846, 0.3267424082954523, 0.35186081186031426, 0.4784504078161044, 0.6582946651542015, 0.8489646783130321, 0.6163780187068043]",15454.828474283218,50
0.007244304927187084,"[0.8154316342704414, 0.49839939976630043, 0.6234124328024027, 0.18125309189704347, -0.13084558858745649, 0.13156716314129885, 0.3402805027324428, 0.5859055760996668, 0.45618406593589156, 0.47201373907302413]",17934.787715435028,50
0.00824599835327512,"[1.0, 0.5310509165385653, 0.6643030760585771, 1.0, 1.0, 1.0, 0.46749261850790397, 0.6928625098235438, 0.9714141104868078, 0.9404669855646536]",20320.7601416111,50
0.008044678209528934,"[0.5939243220899433, -0.2832571784999119, 0.3784183847510822, -0.21734916224641207, 0.5193984772506676, 0.5323072427906489, -0.2559773675396331, 0.5127625636107795, 0.41962264396980437, -0.27771426526523213]",22848.32089471817,50
0.006812239478516791,"[0.7706492459134263, 0.8341263140604498, 0.8097417503682282, 0.7578896449017634, 0.7814579071242818, 0.8228715673072743, 0.659832357886155, 0.8203965810456579, 0.7186857768682836, 0.8655743415428385]",25178.34342622757,50
0.008968955669829942,"[0.653432185515504, 1.0, 1.0, 1.0, 0.8303721462227014, 1.0, 0.803061025326939, 0.944337315584231, 0.49053471920352537, 0.9488644556746946]",27639.977840185165,50
0.007423955609108098,"[0.7932010901746424, 0.18033498140902796, 0.2955842886325706, 0.6159008531479818, 0.3488098043962865, 0.8078551632162236, -0.014112279785904737, 0.3127196950331096, -0.3298303858278884, -0.3405740951463705]",30398.50760793686,50
best fitness,particula,tiempo,evals
0.005409268924537038,"[0.7405859037055659, 0.6068396256011384, 0.5431899534213122, 0.5081508576826846, 0.3267424082954523, 0.35186081186031426, 0.4784504078161044, 0.6582946651542015, 0.8489646783130321, 0.6163780187068043]",15454.828474283218,50
0.007244304927187084,"[0.8154316342704414, 0.49839939976630043, 0.6234124328024027, 0.18125309189704347, -0.13084558858745649, 0.13156716314129885, 0.3402805027324428, 0.5859055760996668, 0.45618406593589156, 0.47201373907302413]",17934.787715435028,50
0.00824599835327512,"[1.0, 0.5310509165385653, 0.6643030760585771, 1.0, 1.0, 1.0, 0.46749261850790397, 0.6928625098235438, 0.9714141104868078, 0.9404669855646536]",20320.7601416111,50
0.008044678209528934,"[0.5939243220899433, -0.2832571784999119, 0.3784183847510822, -0.21734916224641207, 0.5193984772506676, 0.5323072427906489, -0.2559773675396331, 0.5127625636107795, 0.41962264396980437, -0.27771426526523213]",22848.32089471817,50
0.006812239478516791,"[0.7706492459134263, 0.8341263140604498, 0.8097417503682282, 0.7578896449017634, 0.7814579071242818, 0.8228715673072743, 0.659832357886155, 0.8203965810456579, 0.7186857768682836, 0.8655743415428385]",25178.34342622757,50
0.008968955669829942,"[0.653432185515504, 1.0, 1.0, 1.0, 0.8303721462227014, 1.0, 0.803061025326939, 0.944337315584231, 0.49053471920352537, 0.9488644556746946]",27639.977840185165,50
0.007423955609108098,"[0.7932010901746424, 0.18033498140902796, 0.2955842886325706, 0.6159008531479818, 0.3488098043962865, 0.8078551632162236, -0.014112279785904737, 0.3127196950331096, -0.3298303858278884, -0.3405740951463705]",30398.50760793686,50
0.008490810237778909,"[0.6095476463642677, 0.8369262954461804, 0.6936505659922665, 0.9782416111315452, 0.8574528989880263, 0.9885702053946448, 0.9232043793039351, 1.0, 0.843277999433302, 0.5497023959572915]",32693.163680553436,50
best fitness,particula,tiempo,evals
0.005409268924537038,"[0.7405859037055659, 0.6068396256011384, 0.5431899534213122, 0.5081508576826846, 0.3267424082954523, 0.35186081186031426, 0.4784504078161044, 0.6582946651542015, 0.8489646783130321, 0.6163780187068043]",15454.828474283218,50
0.007244304927187084,"[0.8154316342704414, 0.49839939976630043, 0.6234124328024027, 0.18125309189704347, -0.13084558858745649, 0.13156716314129885, 0.3402805027324428, 0.5859055760996668, 0.45618406593589156, 0.47201373907302413]",17934.787715435028,50
0.00824599835327512,"[1.0, 0.5310509165385653, 0.6643030760585771, 1.0, 1.0, 1.0, 0.46749261850790397, 0.6928625098235438, 0.9714141104868078, 0.9404669855646536]",20320.7601416111,50
0.008044678209528934,"[0.5939243220899433, -0.2832571784999119, 0.3784183847510822, -0.21734916224641207, 0.5193984772506676, 0.5323072427906489, -0.2559773675396331, 0.5127625636107795, 0.41962264396980437, -0.27771426526523213]",22848.32089471817,50
0.006812239478516791,"[0.7706492459134263, 0.8341263140604498, 0.8097417503682282, 0.7578896449017634, 0.7814579071242818, 0.8228715673072743, 0.659832357886155, 0.8203965810456579, 0.7186857768682836, 0.8655743415428385]",25178.34342622757,50
0.008968955669829942,"[0.653432185515504, 1.0, 1.0, 1.0, 0.8303721462227014, 1.0, 0.803061025326939, 0.944337315584231, 0.49053471920352537, 0.9488644556746946]",27639.977840185165,50
0.007423955609108098,"[0.7932010901746424, 0.18033498140902796, 0.2955842886325706, 0.6159008531479818, 0.3488098043962865, 0.8078551632162236, -0.014112279785904737, 0.3127196950331096, -0.3298303858278884, -0.3405740951463705]",30398.50760793686,50
0.008490810237778909,"[0.6095476463642677, 0.8369262954461804, 0.6936505659922665, 0.9782416111315452, 0.8574528989880263, 0.9885702053946448, 0.9232043793039351, 1.0, 0.843277999433302, 0.5497023959572915]",32693.163680553436,50
0.007170486390955466,"[0.9834723334503261, 0.5866039734157495, 0.5594467657249126, 0.7903794518081331, 0.654497421910009, 0.6710563011741595, 0.7025866142487757, 0.8304961014993802, 0.8922504111473091, 0.3529045272716831]",35062.815106868744,50
best fitness,particula,tiempo,evals
0.005409268924537038,"[0.7405859037055659, 0.6068396256011384, 0.5431899534213122, 0.5081508576826846, 0.3267424082954523, 0.35186081186031426, 0.4784504078161044, 0.6582946651542015, 0.8489646783130321, 0.6163780187068043]",15454.828474283218,50
0.007244304927187084,"[0.8154316342704414, 0.49839939976630043, 0.6234124328024027, 0.18125309189704347, -0.13084558858745649, 0.13156716314129885, 0.3402805027324428, 0.5859055760996668, 0.45618406593589156, 0.47201373907302413]",17934.787715435028,50
0.00824599835327512,"[1.0, 0.5310509165385653, 0.6643030760585771, 1.0, 1.0, 1.0, 0.46749261850790397, 0.6928625098235438, 0.9714141104868078, 0.9404669855646536]",20320.7601416111,50
0.008044678209528934,"[0.5939243220899433, -0.2832571784999119, 0.3784183847510822, -0.21734916224641207, 0.5193984772506676, 0.5323072427906489, -0.2559773675396331, 0.5127625636107795, 0.41962264396980437, -0.27771426526523213]",22848.32089471817,50
0.006812239478516791,"[0.7706492459134263, 0.8341263140604498, 0.8097417503682282, 0.7578896449017634, 0.7814579071242818, 0.8228715673072743, 0.659832357886155, 0.8203965810456579, 0.7186857768682836, 0.8655743415428385]",25178.34342622757,50
0.008968955669829942,"[0.653432185515504, 1.0, 1.0, 1.0, 0.8303721462227014, 1.0, 0.803061025326939, 0.944337315584231, 0.49053471920352537, 0.9488644556746946]",27639.977840185165,50
0.007423955609108098,"[0.7932010901746424, 0.18033498140902796, 0.2955842886325706, 0.6159008531479818, 0.3488098043962865, 0.8078551632162236, -0.014112279785904737, 0.3127196950331096, -0.3298303858278884, -0.3405740951463705]",30398.50760793686,50
0.008490810237778909,"[0.6095476463642677, 0.8369262954461804, 0.6936505659922665, 0.9782416111315452, 0.8574528989880263, 0.9885702053946448, 0.9232043793039351, 1.0, 0.843277999433302, 0.5497023959572915]",32693.163680553436,50
0.007170486390955466,"[0.9834723334503261, 0.5866039734157495, 0.5594467657249126, 0.7903794518081331, 0.654497421910009, 0.6710563011741595, 0.7025866142487757, 0.8304961014993802, 0.8922504111473091, 0.3529045272716831]",35062.815106868744,50
0.0035914796421063163,"[1.0, 0.9738586529189641, 0.8380232050636393, 0.7464588818342833, 1.0, 0.6122768156940027, 0.3994904504961553, 0.5832303414343613, 0.2450949610915688, 0.739495625573498]",37378.52994346619,50
